questionTitle,questionId,answerText,answerHtml,superCategory,category,questionTags,synonyms
Can I apply for an IPO on multiple platforms?,can-i-apply-for-an-ipo-on-multiple-platforms,You can place 1 application per PAN card regardless of which platforms you use.,,Stocks,SX_IPO,Before Applying,"many IPO, two IPO, IPO through different platform"""
Can I buy IPO on Groww?,can-i-buy-ipo-on-groww,"Yes, you can buy IPO on Groww. Press the button below to go to the IPO page. ",,Stocks,SX_FAQ,DEFAULT,"subscribe to ipo, new ipo, apply ipo"""
Can I transfer my Demat holdings to my Groww account?,can-i-transfer-my-demat-holdings-to-my-groww-account,,"Yes, you can move your stocks to Groww. nnTo know how to move your stocks to Groww, press the button below and read the blog. ",Stocks,SX_FAQ,DEFAULT,"grow, platform, website, site, bank, savings bank, balance, stocks account, investing account, trading account """
How much GST is charged?,how-much-gst-is-charged,,The rate of GST applicable is 18% of the amount wherever applicable.,Stocks,SX_PRICING,Regulatory Charges,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
How much does Groww charge for stocks?,how-much-does-groww-charge-for-stocks-2,"Account opening = Rs 0nAnnual maintenance charge (AMC) = Rs 0nBrokerage = Rs 20 or 0.05% per order (whichever is lower)nnRegulatory & statutory charges, penalties, and GST is extra and depends on the type of order.  nnYou can use the brokerage calculator to get an estimate of all the charges involved. nnAlso, you can know all about our charges by reading our pricing section in detail. nnSelect the buttons below to go to the brokerage calculator or pricing page. ",,Stocks,SX_FAQ,DEFAULT,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
How to invest in IPO?,how-to-invest-in-ipo,"Here are the steps to apply for IPO: nn 1. Press the 'INVEST IN IPO' button below.n 2. You will see the list of open IPOs. Press the 'APPLY' button beside the IPO name you want to apply for. n 3. In the box on the right side, enter the number of shares you want to apply for. n 4. Press the 'CONTINUE' button.n 5. Enter your UPI ID. You will get this from your UPI app (Google Pay, PhonePe, etc). n 6. Press the 'CONTINUE' button.n 7. You will be able to see a timeline of your IPO application process and the tentative allotment date.n 8. Within 24 hours, you will get a UPI mandate request on your UPI app. Approve it.  n nDone!nnNote: The UPI mandate request may come instantly or may take up to 24 hours to come.",,Stocks,SX_IPO,Before Applying,"subscribe to ipo, new ipo, apply ipo"""
How will off market transactions show up in my holding?,how-will-off-market-transactions-show-up-in-my-holding,,Off market transactions will show up in your holdings after it reflects in your demat account. It takes 2 working days after the transaction date to show up (T+2). Please raise a ticket if it has been more than 2 days.,Stocks,SX_DASHBOARD,Holdings,""""
I have not received my profit for the day.,i-have-not-received-my-profit-for-the-day,"The intraday buy-sell profit amount has been blocked as per SEBI regulations, which will be released on the next market session (T+1) after the market closes.",null,Stocks,SX_MARGIN,Intraday Profit,"unable, see, profit, intraday"""
I want to know my demat account details.,i-want-to-know-my-demat-account-details,"<p>1. Go to <a href=https://groww.in/user/profile/basic-details""> Basic Details </a> <br />2. On the bottom"," you will see the DPID Your DP ID is your DEMAT account number.</p>""",Stocks,SX_FAQ,DEFAULT,"bank, savings bank, balance, information, info, more, stocks account, investing account, trading account """
Is there any rule for limit price of an order?,is-there-any-rule-for-limit-price-of-an-order,,"As per exchange guidelines, you can buy or sell a stock within a certain range. This range is displayed to you when you're placing a buy or sell limit order.",Stocks,SX_FAQ,DEFAULT,""""
My issue is not listed here.,my-issue-is-not-listed-here-17,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Stocks,SX_DASHBOARD,Intraday Positions,"0"""
My issue is not listed here.,my-issue-is-not-listed-here-19,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Stocks,SX_FAQ,DEFAULT,"0"""
My issue is not listed here.,my-issue-is-not-listed-here-20,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Stocks,SX_MARGIN,Margin,"0"""
My issue is not listed here.,my-issue-is-not-listed-here-21,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,,Stocks,SX_PRICING,Regulatory Charges,"0"""
What are DP charges (depository participant charges)?,what-are-dp-charges-depository-participant-charges-2,"DP charges or Depository Participant charges are charged by the depository (CDSL). nnDP charges when buying: Rs 0. nnDP charges when selling: Rs 13.5 + GST per ISIN (company stock or ETF) per day, regardless of quantity sold. ",,Stocks,SX_PRICING,Transaction Charges,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What are DP charges (depository participant charges),what-are-dp-charges-depository-participant-charges-1,"DP charges or Depository Participant charges are charged by the depository (CDSL). nnDP charges when buying: Rs 0. nnDP charges when selling: Rs 13.5 + GST per ISIN (company stock or ETF) per day, regardless of quantity sold. nnn",,Stocks,SX_MARGIN,Margin,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What are account maintainance charges?,what-are-account-maintainance-charges,,"<p>This is Rs 0 on Groww.&nbsp;</p>n<p>Most platforms charge an annual maintenance charge (AMC) for the demat account. On Groww, we do not have any AMC.&nbsp;</p>",Stocks,SX_PRICING,Account Charges,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What are account opening charges?,what-are-account-opening-charges,,"Currently, opening a stocks account is completely free on Groww.nnThis may change in the near future. However, any change in account opening charge will be notified to all our users before implementing that update.",Stocks,SX_PRICING,Account Charges,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What are intraday charges?,what-are-intraday-charges,,Groww gives you the best intraday trading experience at a low charge.nnBrokerage: Rs.20 or 0.05%nof the order value (whichever is lower)nnSTT Charges: 0.025%nnExchange Transaction Charges:n0.00325% (NSE) orn0.003% (BSE)nnSEBI Turnover Charges: 0.00005%nnGST: 18%nnStamp Duty: 0.003%nnTry our brokerage calculator to understand charges better.nClick on the button below to know more about our pricing.,Stocks,SX_PRICING,Transaction Charges,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What are intraday square off charges?,what-are-intraday-square-off-charges-1,"In intraday trading, each open position should be squared off by 3:10 PM. nnIf itâ€™s an auto square-off, there will be a charge of Rs.50 + GST per position. nnHence, we recommend planning the square-off for your open intraday positions well in advance.",,Stocks,SX_MARGIN,Margin,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What are intraday square-off charges?,what-are-intraday-square-off-charges-2,"In intraday trading, each open position should be squared off by 3:10 PM. nnIf itâ€™s an auto square-off, there will be a charge of Rs.50 + GST per position. nnHence, we recommend planning the square-off for your open intraday positions well in advance.",,Stocks,SX_PRICING,Transaction Charges,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What are transaction charges by exchange?,what-are-transaction-charges-by-exchange,,<p>Transaction charges are charges applicable for trading on the exchanges. BSE: 0.003% of ordar amount NSE: 0.00325% of order amount. It is applicable for both buy and sell orders.</p>,Stocks,SX_PRICING,Regulatory Charges,"charges, prices, stocks charges, transaction charges, GST, maintenance charges, intraday charges, delivery charges, dp charges, square off charges, account opening charges, turnover, stamp duty, """
What happens if I don't exit my position?,what-happens-if-i-dont-exit-my-position-1,"In intraday trading, each open position should be squared off by 3:10 PM. If itâ€™s a system square-off, there will be a charge of Rs.50 + GST per position. nnHence, we recommend planning the square-off for your open intraday positions well in advance.",,Stocks,SX_DASHBOARD,Intraday Positions,""""
What is SEBI turnover charge?,what-is-sebi-turnover-charge,,"For regulating the market, SEBI charges 0.00005% of the turnover.",Stocks,SX_PRICING,Regulatory Charges,"charges, prices, stocks charges, transaction charges, SEBI charges"""
What is STT?,what-is-stt,,STT stands for Securities Transaction Tax. It is charged by the government when you transact on the exchanges.nnFor equity delivery: 0.1% of order amountnFor equity intraday: 0.025% of order amount,Stocks,SX_PRICING,Regulatory Charges,"charges, prices, stocks charges, transaction charges, securities transaction tax"""
