questionId,questionTitle,answerText,superCategory,category,questionTags
my-issue-is-not-listed-here,My issue is not listed here,You can try searching for your issue. Alternatively you can raise a ticket with us. Our Customer Support champs will help you out in no time!,Stocks,SX_DASHBOARD,Intraday Positions
what-happens-if-i-dont-exit-my-position-1,What happens if I don't exit my position?,"In intraday trade, each open position should be squared off by 3:10 PM. If it’s a system square-off, there will be a charge of Rs.50 + GST per position. Hence, we recommend planning the square-off for your open intraday positions well in advance",Stocks,SX_DASHBOARD,Intraday Positions
how-will-off-market-transactions-show-up-in-my-holding,How will off market transactions show up in my holding?,Off market transactions will show up in your holdings after it reflects in your demat account. It takes 2 working days after the transaction date to show up (T+2). Please raise a ticket if it has been more than 2 days,Stocks,SX_DASHBOARD,Holdings
when-will-corporate-action-reflect-in-my-holdings-1,When will corporate action reflect in my holdings?,It will reflect on the execution date. After the delivery date it will start reflecting in your holdings.,Stocks,SX_DASHBOARD,Holdings
why-are-some-of-my-shares-locked-1,Why are some of my shares locked?,"Your shares might be locked due to any one of the following reasons: - You may have pledged your shares, hence you are not allowed to sell the order.&nbsp;</p>\\n<p>If you are sure this isn't the case, please raise a ticket by pressing the button below",Stocks,SX_DASHBOARD,Holdings
why-do-i-have-to-verify-holdings-with-tpin-1,Why do I have to verify holdings with TPIN?,"Effective from 18 Feb 2021, you’ll have to enter TPIN and OTP received on your registered mobile number while verifying your holdings before selling. (Validity: 1 day)\\n\\nTo generate a new TPIN, please click on the button below.\\n\\nYou can find your BOID in YOU --> Personal Details (16 digit number)",Stocks,SX_DASHBOARD,Holdings
what-is-the-difference-between-realised-and-unrealised-returns-1,What is the difference between realised and unrealised returns?,"Realised returns is the return you have made after actually selling your stocks. \\nUnrealised return, on the other hand, is the return you can make if you sell your stocks.",Stocks,SX_DASHBOARD,Delivery Positions
how-to-invest-in-ipo,How to invest in IPO???,"Here are the steps to apply for IPO: \\n\\n 1. Press the 'INVEST IN IPO' button below.\\n 2. You will see the list of open IPOs. Press the 'APPLY' button beside the IPO name you want to apply for. \\n 3. In the box on the right side, enter the number of shares you want to apply for. \\n 4. Press the 'CONTINUE' button.\\n 5. Enter your UPI ID. You will get this from your UPI app (Google Pay, PhonePe, etc). \\n 6. Press the 'CONTINUE' button.\\n 7. You will be able to see a timeline of your IPO application process and the tentative allotment date.\\n 8. Within 24 hours, you will get a UPI mandate request on your UPI app. Approve it.  \\n \\nDone!\\n\\nNote: The UPI mandate request may come instantly or may take up to 24 hours to come.\"",\""answerHtml\"":\""\"",\""questionTags\"":\""Before Applying",Stocks,SX_IPO,Before Applying
what-is-lot-size-and-cutoff-price-in-an-ipo,What is lot size and cutoff price in an IPO?,"It is the minimum number of shares that an investor has to apply for. This is known as the IPO bid lot or market lot size or minimum order quantity. \\n \\n Example: IPO of company ABC has a market lot size of 100 shares. So an investor can apply for 100 shares, or 200 shares, or 300 shares, and so on.\\n\\nThe cutoff price is the maximum price for a particular IPO. Eg. price range for ABC company's IPO is Rs 100-105 then Rs 105 is the cutoff price.",Stocks,SX_IPO,Before Applying
can-i-apply-for-an-ipo-on-multiple-platforms,Can I apply for an IPO on multiple platforms?,You can place 1 application per PAN card regardless of which platforms you use.,Stocks,SX_IPO,Before Applying
